브랜드코드,브랜드명,점포번호,점포명,사업자번호,MENU_CD,MENU_FULL_NM,MENU_NM,판매가격
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000090,레몬,레몬,0
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000091,라임,라임,0
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000095,레몬맛,레몬맛,0
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000096,체리&석류맛,체리&석류맛,0
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000098,딸기마카롱,딸기마카롱,0
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000099,강아지마카롱,강아지마카롱,0
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000100,고양이마카롱,고양이마카롱,0
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000101,러브마카롱,러브마카롱,0
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000102,블루베리마카롱,블루베리마카롱,0
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000143,츄러스,츄러스,0
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000144,초코 ,초코 ,0
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000145,브라운치즈,브라운치즈,0
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000146,플레인,플레인,0
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000154,무화과,무화과,0
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000162,진한원두,진한원두,0
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000164,디카페인,디카페인,"1,000"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000073,쿠키슈,쿠키슈,"3,000"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000074,우유크림카스테라,우유크림카스테라,"4,500"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000075,시카고치즈케이크,시카고치즈케이크,"6,000"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000076,초코쿠키치즈케이크,초코쿠키치즈케이크,"6,000"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000077,얼그레이쇼콜라,얼그레이쇼콜라,"5,500"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000078,레아치즈타르트,레아치즈타르트,"5,500"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000079,티라미수타르트,티라미수타르트,"5,500"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000080,오리지널티라미수케이크,오리지널티라미수케이크,"6,800"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000081,레드벨벳케이크,레드벨벳케이크,"5,500"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000082,당근케이크,당근케이크,"5,500"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000083,갸토쇼콜라,갸토쇼콜라,"5,500"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000086,마카롱,마카롱,"2,500"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000138,당근크림치즈케이크 ,당근크림치즈케이크 ,"6,000"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000139,에그타르트 ,에그타르트 ,"3,500"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000140,초코스모어 ,초코스모어 ,"3,500"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000141,쿠앤크스모어,쿠앤크스모어,"3,500"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000142,휘낭시에 ,휘낭시에 ,"2,800"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000160,리얼망고케이크,리얼망고케이크,"7,000"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000001,로제가래떡볶이(1~2인분),로제가래떡볶이(1~2인분),"8,900"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000003,남포동떡볶이(1~2인분),남포동떡볶이(1~2인분),"7,900"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000004,밀떡볶이(1~2인분),밀떡볶이(1~2인분),"6,900"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000005,할머니가래떡볶이(3~4인분),할머니가래떡볶이(3~4인분),"13,900"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000006,치즈할머니가래떡볶이(3~4인분),치즈할머니가래떡볶이(3~4인분),"15,900"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000007,남순모SET,남순모SET,"17,900"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000008,남포동과 순살치킨,남포동과 순살치킨,"15,900"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000009,할가떡튀김 SET,할가떡튀김 SET,"18,900"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000010,어떡할가SET,어떡할가SET,"17,900"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000011,꼬마김밥 5줄,꼬마김밥 5줄,"3,000"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000012,꼬마김밥 10줄,꼬마김밥 10줄,"5,000"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000013,빨강오뎅,빨강오뎅,"4,000"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000014,가래떡튀김+조청,가래떡튀김+조청,"1,500"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000015,순대,순대,"4,000"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000016,물떡어묵탕,물떡어묵탕,"5,900"
gkfajsl,할머니가래떡볶이,1002,할머니가래떡볶이(발산점),336-27-00944,B0000017,빨강물떡어묵탕,빨강물떡어묵탕,"5,900"
