affiliate_id,매장명,메뉴코드,카테고리명,메뉴명,가격
bebeco_ar,배배꼬_세종아름점,"1,385,605",음료,스파클링 뱅쇼,"4,800"
bebeco_ar,배배꼬_세종아름점,"1,449,696",시그니처 메뉴,배배꼬 치즈슈페너,"5,500"
bebeco_ar,배배꼬_세종아름점,"1,449,697",시그니처 메뉴,生우유 카스테라 도넛,"4,000"
bebeco_ar,배배꼬_세종아름점,"1,449,698",시그니처 메뉴,딥초코 카스테라 도넛,"4,200"
bebeco_ar,배배꼬_세종아름점,"1,449,699",시그니처 메뉴,우유딸기 카스테라 도넛,"4,200"
bebeco_ar,배배꼬_세종아름점,"1,449,700",시그니처 메뉴,우유퐁당도넛,"3,500"
bebeco_ar,배배꼬_세종아름점,"1,449,701",시그니처 메뉴,커스터드바닐라크림도넛,"3,500"
bebeco_ar,배배꼬_세종아름점,"1,449,702",시그니처 메뉴,로얄프리미엄 밀크티,"4,800"
bebeco_ar,배배꼬_세종아름점,"1,449,703",시그니처 메뉴,핑크선셋 베리티,"5,200"
bebeco_ar,배배꼬_세종아름점,"1,449,704",배배꼬 세트,카스테라 퐁당 SET (4개),"15,700"
bebeco_ar,배배꼬_세종아름점,"1,449,705",배배꼬 세트,시그니처 크림박스 SET(4개),"14,500"
bebeco_ar,배배꼬_세종아름점,"1,449,706",배배꼬 세트,배배꼬 인기 SET(6개),"22,500"
bebeco_ar,배배꼬_세종아름점,"1,449,707",배배꼬 세트,배배꼬 추천 SET(4개),"15,300"
bebeco_ar,배배꼬_세종아름점,"1,449,708",크림도넛,카스테라 퐁당 SET(4개),"15,700"
bebeco_ar,배배꼬_세종아름점,"1,449,709",크림도넛,시그니처 크림박스 SET (4개),"14,500"
bebeco_ar,배배꼬_세종아름점,"1,449,710",크림도넛,배배꼬 인기 SET (6개),"22,500"
bebeco_ar,배배꼬_세종아름점,"1,449,711",크림도넛,배배꼬 추천 SET (4개),"15,300"
bebeco_ar,배배꼬_세종아름점,"1,449,712",크림도넛,박스포장 (4개~6개),500
bebeco_ar,배배꼬_세종아름점,"1,449,713",크림도넛,비닐포장,100
bebeco_ar,배배꼬_세종아름점,"1,449,714",크림도넛,生우유카스테라 도넛,"4,000"
bebeco_ar,배배꼬_세종아름점,"1,449,715",크림도넛,딥초코카스테라 도넛,"4,200"
bebeco_ar,배배꼬_세종아름점,"1,449,716",크림도넛,우유딸기카스테라 도넛,"4,200"
bebeco_ar,배배꼬_세종아름점,"1,449,717",크림도넛,우유퐁당 도넛,"3,500"
bebeco_ar,배배꼬_세종아름점,"1,449,718",크림도넛,커스터드바닐라크림 도넛,"3,500"
bebeco_ar,배배꼬_세종아름점,"1,449,719",크림도넛,핑크솔트우유크림 도넛,"3,700"
bebeco_ar,배배꼬_세종아름점,"1,449,720",크림도넛,더블딥초코우유 도넛,"3,700"
bebeco_ar,배배꼬_세종아름점,"1,449,721",크림도넛,말차크림 도넛,"3,700"
bebeco_ar,배배꼬_세종아름점,"1,449,722",크림도넛,인절미크림 도넛,"3,700"
bebeco_ar,배배꼬_세종아름점,"1,449,723",크림도넛,얼그레이크림 도넛,"3,700"
bebeco_ar,배배꼬_세종아름점,"1,449,724",크림도넛,누텔라크림 도넛,"3,900"
bebeco_ar,배배꼬_세종아름점,"1,449,725",크림도넛,레몬유자크림 도넛,"3,900"
bebeco_ar,배배꼬_세종아름점,"1,449,726",크림도넛,우유딸기크림 도넛,"3,900"
bebeco_ar,배배꼬_세종아름점,"1,449,727",크림도넛,흑임자크림 도넛,"4,200"
bebeco_ar,배배꼬_세종아름점,"1,449,728",크림도넛,공주바밤바크림 도넛,"3,900"
bebeco_ar,배배꼬_세종아름점,"1,449,729",크림도넛,초당옥쑤크림 도넛,"3,900"
bebeco_ar,배배꼬_세종아름점,"1,449,730",크림도넛,피치요거트크림 도넛,"4,200"
bebeco_ar,배배꼬_세종아름점,"1,449,731",크림도넛,보냉팩 추가,700
bebeco_ar,배배꼬_세종아름점,"1,449,732",베이커리,비닐 포장,100
bebeco_ar,배배꼬_세종아름점,"1,449,733",베이커리,바닐라 커스터드 쿠키슈,"4,500"
bebeco_ar,배배꼬_세종아름점,"1,449,734",베이커리,딥초코 쿠키슈,"4,500"
bebeco_ar,배배꼬_세종아름점,"1,449,735",베이커리,생크림 스콘,"3,800"
bebeco_ar,배배꼬_세종아름점,"1,449,736",베이커리,얼그레이 스콘,"3,800"
bebeco_ar,배배꼬_세종아름점,"1,449,737",COFFEE,펄그레이라떼,"4,500"
bebeco_ar,배배꼬_세종아름점,"1,449,738",COFFEE,배배꼬치즈슈페너,"5,500"
bebeco_ar,배배꼬_세종아름점,"1,449,739",COFFEE,스페셜티 아메리카노,"3,500"
bebeco_ar,배배꼬_세종아름점,"1,449,740",COFFEE,디카페인 아메리카노,"5,000"
bebeco_ar,배배꼬_세종아름점,"1,449,741",COFFEE,헤이즐넛 아메리카노,"3,800"
bebeco_ar,배배꼬_세종아름점,"1,449,742",COFFEE,카페라떼,"4,200"
bebeco_ar,배배꼬_세종아름점,"1,449,743",COFFEE,피넛버터라떼,"4,500"
bebeco_ar,배배꼬_세종아름점,"1,449,744",COFFEE,공주바밤바라떼,"4,500"
bebeco_ar,배배꼬_세종아름점,"1,449,745",COFFEE,바닐라라떼,"4,500"
